company,company_formal,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,industry,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44
Kriti Nutrients,KRITI NUTRIENTS LTD.,3.9,65,3.9,3.8,3.5,3.8,3.6,3.9,3.3,123656,,20102000000,Private (Indian),1,3.099e+19,"Fats & oils, n.e.c.",101011150000000,Other agricultural products,100401050000,10405,Manufacture of non-edible animal oil and fats,1996,Food & Beverages,123656,20240331,12,INDAS,6888.1,6843.6,-5.2,6430.0,187.8,182.3,2.7,452.9,2104.0,230.0,,,KRITI NUTRIENTS LTD.,2104.0,65.0,Matched (3)
Lakshmi Electrical Control Systems,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,3.6,94,3.2,3.3,3.2,3.2,2.9,3.2,2.7,126361,,20101013600,Lakshmi Group [Naidu G.V.],1,6.31208241616e+19,Control panels,101014010900000,Other electronics,260501070000,26517,Manufacture of industrial process control equipment,1981,IT Sector,126361,20240331,12,INDAS,3448.2,3383.4,3.8,3312.4,288.4,268.7,17.5,139.6,3379.4,194.0,,,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,3379.4,94.0,Matched (3)
Larsen & Toubro,LARSEN & TOUBRO LTD.,3.9,20.2k,4.0,3.4,3.7,3.6,3.6,3.9,3.3,127106,LARSEN & TOUBRO,20101010900,Larsen & Toubro Group,1,7.4060612e+19,Construction of other industrial plants,101060201000000,Industrial construction,420201090000,42209,Construction of utility projects n.e.c.,1946,Construction & Real Estate,127106,20240331,12,INDAS,1334342.9,1264386.6,-4118.3,1237181.3,92360.7,80582.0,7970.3,93043.3,1818209.9,407438.0,7266.0,73.0,LARSEN & TOUBRO LTD.,1818209.9,20200.0,Matched (3)
Liberty Shoes,LIBERTY SHOES LTD.,3.9,237,3.8,3.7,3.5,3.6,3.5,3.6,3.2,128358,LIBERTY SHOES,20102000000,Private (Indian),1,4.02004e+19,Leather footwear,101012505010000,Footwear,150201010000,15201,"Manufacture of leather footwear such as shoes, sandals, chappals, leather- cum-rubber/plastic cloth sandles and chappals",1986,Consumer Goods & Durables,128358,20240331,12,INDAS,6543.2,6365.8,-141.7,6289.9,1094.4,1081.4,13.0,111.6,4684.6,2047.0,,,LIBERTY SHOES LTD.,4684.6,237.0,Matched (3)
Linc,LINC LTD.,3.5,173,3.2,3.4,3.3,3.2,3.3,3.2,2.9,128783,LINC PEN,20101035021,Linc Group,1,7.02804e+19,Pens,101012590000000,Other consumer goods,320901010000,32901,"Manufacture of stationary articles such as pens and pencils of all kinds whether or not mechanical, pencil leads, date, sealing or numbering stamps, hand-operated devices for printing or embossing labels, hand printing sets, prepared typewriter ribbons and inked pads, globes etc.",1994,Consumer Goods & Durables,128783,20240331,12,INDAS,5128.2,5060.6,133.1,4920.2,746.5,735.9,7.7,341.1,3456.1,3203.0,1591.0,,LINC LTD.,3456.1,173.0,Matched (3)
Lincoln Pharmaceuticals,LINCOLN PHARMACEUTICALS LTD.,3.6,278,3.7,3.6,3.2,3.4,3.3,3.3,3.1,128795,,20101035022,Lincoln Group,1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1995,Healthcare & Pharmaceuticals,128795,20240331,12,INDAS,6374.3,6030.2,56.9,5498.2,1029.0,993.4,35.6,933.0,7283.7,1919.0,205.0,0.0,LINCOLN PHARMACEUTICALS LTD.,7283.7,278.0,Matched (3)
Linde India,LINDE INDIA LTD.,4.0,697,3.9,3.9,3.7,3.7,3.8,3.8,3.3,27347,,20202000000,Private (Foreign),1,5.00404122e+19,Oxygen,101012001000000,Inorganic chemicals,200101060000,20116,Manufacture of basic chemical elements,1935,Chemical & Allied Products,27347,20240331,12,INDAS,28512.0,27704.5,38.7,24287.3,538.1,438.8,24.6,4263.4,56734.8,1111.0,45.0,0.0,LINDE INDIA LTD.,56734.8,697.0,Matched (3)
Lloyds Metals & Energy,LLOYDS METALS & ENERGY LTD.,3.8,221,3.7,3.4,3.7,3.5,3.5,3.7,3.2,129219,,20101035015,Lloyds Group,1,2.7080499e+19,Iron ore nec,101020300000000,Minerals,70101010000,7100,Mining of iron ores,1977,Diversified / Miscellaneous,129219,20240331,12,INDAS,65745.8,65246.5,148.9,53463.2,1177.7,739.9,65.0,12431.5,39363.7,5353.0,124.0,3.0,LLOYDS METALS & ENERGY LTD.,39363.7,221.0,Matched (3)
Lokesh Machines,LOKESH MACHINES LTD.,3.6,188,3.4,3.5,2.9,3.5,3.1,3.6,3.0,129506,LOKESH MACHINES,20101035027,Lokesh Machines Group,1,6.30424e+19,Machine tools,101014001150000,Machine tools,280202010000,28221,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc.",1983,Electrical Machinery & Equipment,129506,20240331,12,INDAS,3460.1,3443.2,37.7,3359.3,540.3,521.0,19.3,138.5,3931.7,1332.0,,,LOKESH MACHINES LTD.,3931.7,188.0,Matched (3)
Lords Chloro Alkali,LORDS CHLORO ALKALI LTD.,3.5,65,3.7,3.5,3.2,3.4,3.3,3.3,3.0,147749,,20102000000,Private (Indian),1,5.0041604e+19,Sodium hydroxide (Caustic soda),101012005000000,Caustic soda,200101090000,20119,Manufacture of organic and inorganic chemical compounds n.e.c.,1979,Chemical & Allied Products,147749,20240331,12,INDAS,2240.4,2211.1,20.7,2309.1,163.2,154.1,5.5,-48.0,2664.0,199.0,,,LORDS CHLORO ALKALI LTD.,2664.0,65.0,Matched (3)
Loyal Textile Mills,LOYAL TEXTILE MILLS LTD.,3.8,123,3.4,3.7,3.4,3.5,3.5,3.8,3.1,129991,,20102000000,Private (Indian),1,3.62404e+19,Apparels - knitted / crocheted,101011520000000,Readymade garments,140301000000,1430,Manufacture of knitted and crocheted apparel,1946,Textiles & Garments,129991,20240331,12,INDAS,10130.1,9395.3,-366.1,10193.5,1569.8,1364.5,185.2,-429.5,11212.2,1854.0,,,LOYAL TEXTILE MILLS LTD.,11212.2,123.0,Matched (3)
Ltimindtree,LTIMINDTREE LTD.,3.7,22.6k,3.6,3.7,3.3,3.5,3.6,3.7,2.9,127105,,20101010900,Larsen & Toubro Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1996,IT Sector,127105,20240331,12,INDAS,351173.0,342534.0,,306314.0,211870.0,199189.0,583.0,44859.0,269222.0,71118.0,22747.0,,LTIMINDTREE LTD.,269222.0,22600.0,Matched (3)
Lumax Industries,LUMAX INDUSTRIES LTD.,4.0,1.3k,4.0,3.7,3.6,3.7,3.7,3.9,3.4,130248,LUMAX INDS.,20101035018,Lumax - DK Jain Group,1,6.6202036e+19,Auto head lights,101014502059000,Other automobile ancillaries,270401010000,27400,Manufacture of electric lighting equipment,1981,Automobile & Ancillaries,130248,20240331,12,INDAS,26742.4,26369.3,250.7,26132.3,3149.8,2961.5,188.3,860.8,24625.4,6762.0,1067.0,,LUMAX INDUSTRIES LTD.,24625.4,1300.0,Matched (3)
Lupin,LUPIN LTD.,4.1,6.5k,3.7,3.9,3.8,3.8,4.0,4.0,3.5,130382,LUPIN,20101020246,Lupin Group,1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1983,Healthcare & Pharmaceuticals,130382,20240331,12,INDAS,148809.9,147197.9,159.3,125708.3,18630.1,17027.7,720.0,23260.9,251934.5,19862.0,1194.0,6.0,LUPIN LTD.,251934.5,6500.0,Matched (3)
Lux Industries,LUX INDUSTRIES LTD.,3.6,200,3.4,3.5,3.3,3.3,3.3,3.2,2.8,130459,LUX HOSIERY INDS.,20101035002,LUX Group,1,3.6240452e+19,"Other garments, knitted or crocheted",101011520000000,Readymade garments,140301090000,14309,Manufacture of other knitted and crocheted apparel including hosiery,1995,Textiles & Garments,130459,20240331,12,INDAS,23421.6,23255.8,-388.0,21697.9,1300.1,1249.2,44.0,1335.7,21919.2,3364.0,396.0,0.0,LUX INDUSTRIES LTD.,21919.2,200.0,Matched (3)
Machino Plastics,MACHINO PLASTICS LTD.,3.8,277,3.3,3.6,3.7,3.6,3.6,3.7,3.4,133644,,20102000000,Private (Indian),1,6.6202848e+19,Auto plastic moulded components,101014502059000,Other automobile ancillaries,220201090000,22209,Manufacture of other plastics products n.e.c.,2003,Automobile & Ancillaries,133644,20240331,12,INDAS,3378.0,3377.6,114.6,3455.7,422.6,397.2,25.4,36.9,2074.0,404.0,,,MACHINO PLASTICS LTD.,2074.0,277.0,Matched (3)
Madhav Infra Projects,MADHAV INFRA PROJECTS LTD.,4.0,73,4.0,4.0,3.8,3.7,3.6,3.5,3.1,151455,MYRAJ CONSULTANCY,20102000000,Private (Indian),1,7.40612e+19,Infrastructure construction,101060203000000,Infrastructural construction,420901090000,42909,Other civil engineering projects n.e.c.,1992,Construction & Real Estate,151455,20240331,12,INDAS,4167.5,4109.6,-26.8,3953.7,84.9,72.9,12.0,187.0,4560.0,698.0,,,MADHAV INFRA PROJECTS LTD.,4560.0,73.0,Matched (3)
Mafatlal Industries,MAFATLAL INDUSTRIES LTD.,3.8,156,3.4,3.6,3.4,3.5,3.6,3.4,3.1,134635,,20101011101,Arvind Mafatlal Group,1,9.4e+19,Diversified,110000000000000,Diversified,340000000000,34,Diversified,1913,Diversified / Miscellaneous,134635,20240331,12,INDAS,42377.2,41811.3,-254.6,41135.1,598.6,570.8,26.1,987.5,19772.8,1216.0,,,MAFATLAL INDUSTRIES LTD.,19772.8,156.0,Matched (3)
Mahanagar Gas,MAHANAGAR GAS LTD.,4.2,424,4.0,4.1,3.9,3.8,4.0,3.8,3.3,135491,MAHANAGAR GAS,20401000000,Central and Private sector,1,8.0160808e+19,NG storage & distribution,101040407000000,Natural gas trading & distribution,520101090000,52109,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]",1995,Energy & Utilities,135491,20240331,12,INDAS,70374.1,68621.1,-1.7,57481.7,1181.3,1311.4,83.4,12890.7,73045.0,2229.0,113.0,,MAHANAGAR GAS LTD.,73045.0,424.0,Matched (3)
Mahindra & Mahindra,MAHINDRA & MAHINDRA LTD.,4.1,10.5k,4.1,3.8,3.7,3.8,3.9,4.0,3.4,136444,,20101011300,Mahindra & Mahindra Group,1,6.616e+19,Automobiles,101014502015000,Diversified automobile,290101000000,2910,Manufacture of motor vehicles,1945,Automobile & Ancillaries,136444,20240331,12,INDAS,1031835.9,978715.2,15745.1,940403.0,44333.4,39861.6,3254.5,107178.0,846182.4,68414.0,4626.0,36.0,MAHINDRA & MAHINDRA LTD.,846182.4,10500.0,Matched (3)
Mahindra & Mahindra Financial Services,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,4.0,4.8k,3.8,3.9,3.8,3.8,3.9,3.8,3.4,136443,,20101011300,Mahindra & Mahindra Group,2,8.504080404e+19,Auto financing services,102030100000000,Auto finance services,640902010000,64920,Other credit granting,1991,Financial Services,136443,20240331,12,FS_INDAS,135706.3,1154.6,,118110.1,17126.3,16758.6,322.8,17596.2,1188882.7,27981.0,1319.0,45.0,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,1188882.7,4800.0,Matched (3)
Mahindra Holidays & Resorts India,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,3.5,2.1k,3.3,3.1,3.6,3.1,3.2,3.4,2.9,136461,,20101011300,Mahindra & Mahindra Group,1,8.008e+19,"Hotels, resorts & restaurants",101040101000000,Hotels & restaurants,550101010000,55101,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",1996,Services & Consultancy,136461,20240331,12,INDAS,14495.0,12537.4,,12688.6,3516.6,3407.2,217.6,1806.4,77800.9,5157.0,819.0,57.0,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,77800.9,2100.0,Matched (3)
Mahindra Lifespace Developers,MAHINDRA LIFESPACE DEVELOPERS LTD.,4.1,370,4.2,4.1,3.9,3.8,4.0,4.0,3.5,81173,MAHINDRA GESCO,20101011300,Mahindra & Mahindra Group,1,7.41206e+19,Housing real estate,101060101000000,Housing construction,410101010000,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,1999,Construction & Real Estate,81173,20240331,12,INDAS,1463.4,186.9,13607.7,15459.3,1055.8,950.4,54.5,-388.2,44771.4,521.0,,,MAHINDRA LIFESPACE DEVELOPERS LTD.,44771.4,370.0,Matched (3)
Manali Petrochemicals,MANALI PETROCHEMICALS LTD.,3.5,109,3.5,3.5,3.0,3.4,3.0,3.6,3.0,137790,,20201021200,AM International (F) Group,1,5.008e+19,Organic chemicals,101012035000000,Organic chemicals,200101090000,20119,Manufacture of organic and inorganic chemical compounds n.e.c.,1986,Chemical & Allied Products,137790,20240331,12,INDAS,8220.6,7978.3,107.2,8420.3,354.5,285.8,56.9,-92.5,11889.3,984.0,87.0,3.0,MANALI PETROCHEMICALS LTD.,11889.3,109.0,Matched (3)
Manappuram Finance,MANAPPURAM FINANCE LTD.,3.9,4.7k,3.6,3.7,3.6,3.6,3.6,3.8,3.8,137828,,20101035317,Manappuram Group,2,8.504080499e+19,Other asset financing services,102031500000000,Other asset financing services,640902010000,64920,Other credit granting,1992,Diversified / Miscellaneous,137828,20240331,12,FS_INDAS,58552.5,,,41974.7,10221.7,10094.1,11.2,16577.8,343290.6,29720.0,6841.0,0.0,MANAPPURAM FINANCE LTD.,343290.6,4700.0,Matched (3)
Mangalam Cement,MANGALAM CEMENT LTD.,4.2,191,4.3,4.2,3.7,4.0,4.0,3.8,3.2,138278,MANGALAM CEMENT,20101010203,Birla B.K. Group,1,5.406061206e+19,Ordinary portland cement,101013001000000,Cement,230904020000,23942,"Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement",1976,Diversified / Miscellaneous,138278,20240331,12,INDAS,17639.6,17254.8,624.7,17667.1,1281.6,1239.3,29.9,597.2,22173.9,3165.0,15.0,6.0,MANGALAM CEMENT LTD.,22173.9,191.0,Matched (3)
Mangalam Drugs & Organics,MANGALAM DRUGS & ORGANICS LTD.,3.9,114,4.0,3.8,3.5,3.8,3.8,3.6,3.1,138286,,20101035360,Mangalam Group,1,5.012e+19,"Drugs, medicines & allied products",101012030000000,Drugs & pharmaceuticals,210101000000,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",1972,Healthcare & Pharmaceuticals,138286,20240331,12,INDAS,3686.8,3668.9,-90.9,3686.4,393.3,369.4,14.6,-90.5,3571.5,432.0,,,MANGALAM DRUGS & ORGANICS LTD.,3571.5,114.0,Matched (3)
Mangalam Organics,MANGALAM ORGANICS LTD.,3.7,88,3.4,3.7,3.3,3.5,3.5,3.3,2.8,63445,,20102000000,Private (Indian),1,5.0083216e+19,Camphor,101012035000000,Organic chemicals,200101090000,20119,Manufacture of organic and inorganic chemical compounds n.e.c.,1981,Chemical & Allied Products,63445,20240331,12,INDAS,4274.7,4054.3,-362.6,3870.6,267.2,260.2,7.0,41.5,4795.8,307.0,,,MANGALAM ORGANICS LTD.,4795.8,88.0,Matched (3)
Mangalore Refinery & Petrochemicals,MANGALORE REFINERY & PETROCHEMICALS LTD.,4.1,90,4.5,4.0,3.8,3.8,3.7,3.6,3.4,138385,,10101000000,Central Govt. - Commercial Enterprises,1,6.036e+19,Petroleum products,101012050010000,Refinery,190201090000,19209,"Manufacture of other petroleum n.e.c. (includes Manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)",1988,Energy & Utilities,138385,20240331,12,INDAS,1054749.6,1052221.3,10754.8,1029545.0,7720.7,7331.7,368.0,35959.4,428956.7,6507.0,529.0,46.0,MANGALORE REFINERY & PETROCHEMICALS LTD.,428956.7,90.0,Matched (3)
Manugraph India,MANUGRAPH INDIA LTD.,3.6,52,2.5,3.4,2.9,3.1,3.2,3.4,2.7,139685,,20102000000,Private (Indian),1,6.3042028e+19,Printing machinery,101014001050000,Industrial machinery,280209030000,28293,Manufacture of printing and bookbinding machines and machines for activities supporting printing on a variety of materials (other than textiles),1972,Electrical Machinery & Equipment,139685,20240331,12,INDAS,664.5,652.9,-156.8,706.3,233.7,224.0,9.7,-198.6,1530.1,343.0,,,MANUGRAPH INDIA LTD.,1530.1,52.0,Matched (3)
Maral Overseas,MARAL OVERSEAS LTD.,3.7,197,3.7,3.7,3.4,3.4,3.6,3.5,2.9,139826,MARAL OVERSEAS,20101015000,LNJ Bhilwara Group,1,3.612e+19,Cotton textiles,101011525000000,Diversified cotton textile,130103010000,13131,Finishing of cotton and blended cotton textiles.,1989,Textiles & Garments,139826,20240331,12,INDAS,9865.4,9609.2,-65.1,9897.9,1471.0,1430.3,17.2,-97.6,7834.7,6609.0,,,MARAL OVERSEAS LTD.,7834.7,197.0,Matched (3)
Marathon Nextgen Realty,MARATHON NEXTGEN REALTY LTD.,4.0,219,4.0,3.8,3.6,3.7,4.1,3.9,3.4,175908,,20101035322,Marathon group,1,7.41206e+19,Housing real estate,101060101000000,Housing construction,410101010000,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,1978,Construction & Real Estate,175908,20240331,12,INDAS,4099.9,2612.7,216.7,2960.5,108.1,105.9,1.1,1356.1,14514.7,64.0,13.0,0.0,MARATHON NEXTGEN REALTY LTD.,14514.7,219.0,Matched (3)
Marksans Pharma,MARKSANS PHARMA LTD.,3.2,334,3.3,3.1,2.9,3.0,2.9,3.2,2.7,245784,MARKSANS PHARMA,20101035326,Marksans Group,1,5.0122544e+19,Norfloxacin,101012030000000,Drugs & pharmaceuticals,210101090000,21009,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,1992,Healthcare & Pharmaceuticals,245784,20240331,12,INDAS,9158.8,8532.8,72.6,7893.8,777.1,770.9,6.2,1337.6,15503.3,1418.0,208.0,0.0,MARKSANS PHARMA LTD.,15503.3,334.0,Matched (3)
Mastek,MASTEK LTD.,3.6,886,3.4,3.6,3.1,3.4,3.5,3.5,2.9,141201,MASTEK,20101020310,Mastek Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1982,IT Sector,141201,20240331,12,INDAS,4827.8,3727.4,,3697.6,2574.0,2473.4,60.0,1130.2,9980.8,1395.0,488.0,6.0,MASTEK LTD.,9980.8,886.0,Matched (3)
Master Trust,MASTER TRUST LTD.,3.1,63,3.1,3.3,2.9,3.0,3.2,3.1,2.7,141303,MASTER TRUST,20101035328,MasterTrust Group,2,8.50408e+19,Non-banking financial services,102040000000000,Other fund based financial services,640909010000,64990,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1985,Financial Services,141303,20240331,12,FS_INDAS,210.1,0.5,,127.1,10.0,10.0,,83.0,4978.8,1320.0,,,MASTER TRUST LTD.,4978.8,63.0,Matched (3)
Matrimony.Com,MATRIMONY.COM LTD.,4.2,1.5k,4.1,4.1,4.0,4.0,4.2,4.0,3.8,334900,,20101031718,Bharat Matrimony Group,1,8.0402e+19,Other personal services,101041590000000,Other miscellaneous services,960100000000,961,Other Personal service activities,2001,Services & Consultancy,334900,20240331,12,INDAS,5034.2,4729.6,,4549.7,1377.4,1340.5,29.1,484.5,5159.0,2729.0,1471.0,2.0,MATRIMONY.COM LTD.,5159.0,1500.0,Matched (3)
Mawana Sugars,MAWANA SUGARS LTD.,3.7,108,4.1,3.7,3.8,3.3,3.5,3.3,3.3,202690,S I E L,20101011204,Shriram Industrial Enterprises Group,1,3.31604e+19,Sugar,101011101150000,Sugar,100702010000,10721,Manufacture or refining of sugar (sucrose) from sugarcane,1961,Food & Beverages,202690,20240331,12,INDAS,13845.2,13551.8,1892.7,15312.0,807.3,779.2,28.1,425.9,12302.0,1212.0,,,MAWANA SUGARS LTD.,12302.0,108.0,Matched (3)
Max Healthcare Institute,MAX HEALTHCARE INSTITUTE LTD.,4.0,2.8k,3.9,3.7,3.6,3.7,3.8,3.9,3.4,324892,,20101035329,Max India Group,1,8.04008e+19,Medical & health services,101041515000000,Health services,860101010000,86100,Hospital activities,2001,Healthcare & Pharmaceuticals,324892,20240331,12,INDAS,27199.0,24382.4,,20326.4,4483.9,4008.2,106.9,6872.6,91544.7,4047.0,,,MAX HEALTHCARE INSTITUTE LTD.,91544.7,2800.0,Matched (3)
Mayur Uniquoters,MAYUR UNIQUOTERS LTD.,4.0,195,3.7,4.0,3.6,3.7,3.6,3.8,3.2,142382,,20101035331,Mayur Uniquoters Group,1,3.66028e+19,Coated / laminated textile fabrics,101011590000000,Other textiles,130909090000,13999,Manufacture of other textiles/textile products n.e.c.,1992,Textiles & Garments,142382,20240331,12,INDAS,8179.5,7849.0,-102.7,6881.3,431.6,401.7,29.2,1195.5,9711.4,1421.0,15.0,0.0,MAYUR UNIQUOTERS LTD.,9711.4,195.0,Matched (3)
Mazagon Dock Shipbuilders,MAZAGON DOCK SHIPBUILDERS LTD.,4.4,374,3.9,4.3,4.0,4.2,4.2,4.1,3.5,142441,MAZAGON DOCK,10101000000,Central Govt. - Commercial Enterprises,1,6.612e+19,"Ships, boats, etc.",101014590000000,Other transport equipment & ancillaries,300100000000,301,Building of ships and boats,1934,Transportation & Logistics,142441,20240331,12,INDAS,106443.0,91120.4,-26.5,87962.2,8989.4,7423.2,1011.7,18454.3,293460.8,6327.0,248.0,131.0,MAZAGON DOCK SHIPBUILDERS LTD.,293460.8,374.0,Matched (3)
Mcleod Russel India,MCLEOD RUSSEL INDIA LTD.,3.6,60,3.4,3.3,3.2,3.0,3.1,3.2,2.6,70319,MCLEOD RUSSEL INDIA,20101013300,Williamson Magor Group,1,3.36804e+19,"Tea, processed",101011101050000,Tea,100709010000,10791,Processing and blending of tea including Manufacture of instant tea,1998,Food & Beverages,70319,20240331,12,INDAS,9295.1,9102.5,-64.4,11887.2,6878.1,6169.7,619.2,-2656.5,48746.4,69790.0,,,MCLEOD RUSSEL INDIA LTD.,48746.4,60.0,Matched (3)
Mcnally Bharat Engg. Co.,MCNALLY BHARAT ENGG. CO. LTD.,4.1,453,3.9,3.9,3.5,3.9,3.9,3.7,3.1,142553,,20101013300,Williamson Magor Group,1,7.4060612e+19,Construction of other industrial plants,101060201000000,Industrial construction,420201090000,42209,Construction of utility projects n.e.c.,1961,Construction & Real Estate,142553,20240331,12,INDAS,2160.6,1676.1,,10993.2,296.3,295.1,1.2,-8832.6,24555.2,253.0,,,MCNALLY BHARAT ENGG. CO. LTD.,24555.2,453.0,Matched (3)
Medi Assist Healthcare Services,MEDI ASSIST HEALTHCARE SERVICES LTD.,3.5,1.6k,3.5,3.4,2.9,3.3,3.4,3.4,2.7,302386,NET LOGISTICS,20102000000,Private (Indian),1,8e+19,Non-financial services,101043500000000,Diversified non-financial services,460901090000,46909,Other non-specialised wholesale trade n.e.c.,2000,Diversified / Miscellaneous,302386,20240331,12,INDAS,1323.5,1084.2,,1129.0,413.4,380.4,3.6,194.5,2957.6,52.0,,,MEDI ASSIST HEALTHCARE SERVICES LTD.,2957.6,1600.0,Matched (3)
Mercury Laboratories,MERCURY LABORATORIES LTD.,3.2,76,3.1,3.3,2.8,3.2,3.2,3.2,2.9,144376,MERCURY LABORATORIES,20102000000,Private (Indian),1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1982,Healthcare & Pharmaceuticals,144376,20240331,12,INDAS,766.9,757.9,1.4,711.8,145.0,143.4,1.6,56.5,717.0,482.0,,,MERCURY LABORATORIES LTD.,717.0,76.0,Matched (3)
Minda Corporation,MINDA CORPORATION LTD.,3.9,1.8k,3.7,3.6,3.6,3.6,3.6,3.7,3.4,146438,MINDA HUF,20101035343,Minda S.L. Group,1,6.6202808e+19,Automobile locks,101014502059000,Other automobile ancillaries,290201090000,29209,Manufacture of other attachments to motor vehicles n.e.c.,1985,Automobile & Ancillaries,146438,20240331,12,INDAS,38609.0,38440.0,-231.0,36493.0,6196.0,5827.0,287.0,1885.0,30687.0,18612.0,5254.0,536.0,MINDA CORPORATION LTD.,30687.0,1800.0,Matched (3)
Mirc Electronics,MIRC ELECTRONICS LTD.,3.8,269,3.5,3.7,3.2,3.4,3.5,3.4,2.9,146797,,20101020339,Onida Group,1,8.004041620081612e+19,"Wholesale trade in refrigerators, air-conditioners, etc",101040401000000,Wholesale trading,460509030000,46593,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",1981,Retail & Wholesale,146797,20240331,12,INDAS,9748.8,9684.9,324.8,10695.7,619.2,591.2,28.0,-622.1,6097.7,484.0,,,MIRC ELECTRONICS LTD.,6097.7,269.0,Matched (3)
Modern Insulators,MODERN INSULATORS LTD.,4.0,125,3.8,3.8,3.5,3.6,3.6,3.4,3.2,147607,MODERN INSULATORS,20101020318,Modern Group,1,6.308400804e+19,Porcelain HT insulators,101014005150000,Miscellaneous electrical machinery,230903040000,23934,Manufacture of electrical insulators and insulating fittings of ceramics,1982,Electrical Machinery & Equipment,147607,20240331,12,INDAS,4551.9,4438.6,-76.5,4110.5,724.9,696.6,7.0,364.9,5683.3,1438.0,,,MODERN INSULATORS LTD.,5683.3,125.0,Matched (3)
Modi Naturals,MODI NATURALS LTD.,3.9,135,3.8,3.8,3.6,3.6,3.5,3.5,3.1,15788,AMOIL,20102000000,Private (Indian),1,3.0080434e+19,Rice bran oil,101011101200000,Vegetable oils & products,100401020000,10402,Manufacture of vegetable oils and fats excluding corn oil,1974,Food & Beverages,15788,20240331,12,INDAS,3588.9,3577.6,-90.1,3489.7,234.9,233.4,0.8,9.1,1697.0,517.0,,,MODI NATURALS LTD.,1697.0,135.0,Matched (3)
Modison,MODISON LTD.,3.2,55,3.6,3.3,3.0,2.7,2.6,2.8,2.5,147887,,20102000000,Private (Indian),1,6.30804122412e+19,Contactors,101014005050000,"Generators, transformers & switchgears",270101040000,27104,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. swicthes, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts; similar apparatus (including relays, sockets etc.) for a voltage not exceeding 1000 volts; boards, panels, consoles, cabinets and other bases equipped with two or more of the above apparatus for electricity control or distribution of electricity including power capacitors.)",1983,Electrical Machinery & Equipment,147887,20240331,12,INDAS,4110.2,4049.8,213.0,4109.8,211.8,205.0,6.8,213.4,2749.0,256.0,,,MODISON LTD.,2749.0,55.0,Matched (3)
Mold-Tek Technologies,MOLD-TEK TECHNOLOGIES LTD.,3.5,185,3.5,3.3,3.1,3.2,3.2,3.2,3.0,148438,,20101035347,Mold-Tek Group,1,8.03608e+19,Technical consultancy & engineering services,101041510000000,Business services & consultancy,710101010000,71100,Architectural and engineering activities and related technical consultancy,1985,Services & Consultancy,148438,20240331,12,INDAS,1485.9,1461.7,,1209.2,917.2,888.5,28.4,276.7,1808.9,1111.0,,,MOLD-TEK TECHNOLOGIES LTD.,1808.9,185.0,Matched (3)
Monarch Networth Capital,MONARCH NETWORTH CAPITAL LTD.,3.7,90,3.5,3.7,3.6,3.3,3.6,3.5,3.0,158081,,20101035304,MNCL Group,2,8.508e+19,Fee based financial services,102059000000000,Other fee based financial services,640109010000,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1993,Financial Services,158081,20240331,12,INDAS,2718.0,,,1552.9,422.7,366.3,10.9,1165.1,8042.3,395.0,77.0,2.0,MONARCH NETWORTH CAPITAL LTD.,8042.3,90.0,Matched (3)
